"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"456","2018","Las Vegas","","https://web.archive.org/web/20190102014801/https://forum2018.diglib.org/","","2018-10-15","2018-10-17","Henderson","Nevada","64","","Trevor Owens","","n","True","True","2018 Las Vegas Henderson Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2018 - Las Vegas"
"457","2017","Pittsburgh","","https://web.archive.org/web/20191017021612/https://forum2017.diglib.org/","","2017-10-22","2017-10-26","Pittsburgh","Pennsylvania","64","","Trevor Owens","","n","True","True","2017 Pittsburgh Pittsburgh Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2017 - Pittsburgh"
"458","1969","Poughkeepsie","The assortment here likely does not represent the complete proceedings.","","IBM Symposium on Introducing the Computer into the Humanities","1969-06-30","1969-07-02","Poughkeepsie","New York","64","""Proceedings of the IBM Symposium on Introducing the Computer into the Humanities, June 30-July 2, 1969, Poughkeepsie, NY: IBM, 1969.","","","i","False","False","1969 Poughkeepsie Poughkeepsie IBM IBM","1969 - Poughkeepsie"
"459","2016","Milwaukee","","https://web.archive.org/web/20170314224806/https://www.conftool.pro/dlf2016/sessions.php","","2016-11-07","2016-11-09","Milwaukee","Wisconsin","64","","Trevor Owens","","n","True","False","2016 Milwaukee Milwaukee Institution object (1563) Institution object (1138) Institution object (1136) Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2016 - Milwaukee"
"460","2015","Vancouver","","https://dlfforum2015.sched.com/list/descriptions/","","2015-10-26","2015-10-28","Vancouver","British Columbia","13","","Trevor Owens","","n","True","True","2015 Vancouver Vancouver Institution object (916) Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2015 - Vancouver"
"461","2014","Atlanta","","https://web.archive.org/web/20200415011200/https://www.diglib.org/dlf-events/2014forum/","","2014-10-27","2014-10-29","Atlanta","Georgia","64","","Trevor Owens","","n","True","True","2014 Atlanta Atlanta Institution object (203) Institution object (253) Institution object (251) Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2014 - Atlanta"
"462","2013","Austin","","https://www.diglib.org/dlf-events/2013forum/","","2013-11-04","2013-11-06","Austin","Texas","64","","Trevor Owens","""Over 350 digital library practitioners participated"" (https://www.diglib.org/dlf-events/2013forum/)","n","True","True","2013 Austin Austin Institution object (403) Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2013 - Austin"
"463","2012","Denver","Abstracts are individually linked in schedule.","https://www.diglib.org/dlf-events/2012forum/2012-dlf-forum-schedule/","","2012-11-04","2012-11-05","Denver","Colorado","64","","Trevor Owens","230 participants (https://www.diglib.org/wp-content/uploads/sites/3/2012/11/2012-DLF-Forum-Participants-List.pdf)","n","True","True","2012 Denver Denver Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2012 - Denver"
"464","2011","Baltimore","","https://www.diglib.org/dlf-events/2011forum/","","2011-10-31","2011-11-01","Baltimore","Maryland","64","","Trevor Owens","~150 (https://www.diglib.org/dlf-events/2011forum/participants/)","n","True","True","2011 Baltimore Baltimore Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2011 - Baltimore"
"465","2010","Palo Alto","2010 Fall Forum","https://www.diglib.org/dlf-events/fall2010/","","2010-11-01","2010-11-03","Palo Alto","California","64","","Trevor Owens","","n","True","True","2010 Palo Alto Palo Alto Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2010 - Palo Alto"
"466","2009","Long Beach","2009 Fall Forum","https://web.archive.org/web/20130725180144/http://old.diglib.org/forums/fall2009/2009fallschedule.htm","","2009-11-11","2009-11-12","Long Beach","California","64","","Trevor Owens","","n","True","False","2009 Long Beach Long Beach Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2009 - Long Beach"
"467","2009","Raleigh","2009 Spring Forum","https://web.archive.org/web/20110930061009/http://old.diglib.org/forums/spring2009/2009springprogram.htm","","2009-05-04","2009-05-06","Raleigh","North Carolina","64","","Trevor Owens","","n","True","True","2009 Raleigh Raleigh Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2009 - Raleigh"
"468","2008","Minneapolis","2008 Spring Forum","https://web.archive.org/web/20130731070849/http://old.diglib.org/forums/spring2008/2008springschedule.htm","","2008-04-28","2008-04-30","Minneapolis","Minnesota","64","","Trevor Owens","","n","True","True","2008 Minneapolis Minneapolis Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2008 - Minneapolis"
"469","2008","Providence","2008 Fall Forum","https://web.archive.org/web/20130731075205/http://old.diglib.org/forums/fall2008/2008fallschedule.htm","","2008-11-12","2008-11-14","Providence","Rhode Island","64","","Trevor Owens","","n","True","True","2008 Providence Providence Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2008 - Providence"
"470","2007","Pasadena","2007 Spring Forum","https://web.archive.org/web/20120419070501/http://old.diglib.org/forums/spring2007/","","2007-04-23","2007-04-25","Pasadena","California","64","","Trevor Owens","","n","True","True","2007 Pasadena Pasadena Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2007 - Pasadena"
"471","2007","Philadelphia","2007 Fall Forum","https://web.archive.org/web/20120217002449/http://old.diglib.org/forums/fall2007/2007fallprogram.htm","","2007-11-05","2007-11-07","Philadelphia","Pennsylvania","64","","Trevor Owens","","n","True","True","2007 Philadelphia Philadelphia Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2007 - Philadelphia"
"472","2006","Austin","2006 Spring Forum","https://web.archive.org/web/20130725233724/http://old.diglib.org/forums/spring2006/spring2006program.htm","","2006-04-10","2006-04-12","Austin","Texas","64","","Trevor Owens","","n","True","True","2006 Austin Austin Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2006 - Austin"
"473","2006","Boston","2006 Fall Forum","https://web.archive.org/web/20130605174839/http://old.diglib.org/forums/fall2006/fallforum06short.pdf","","2006-11-08","2006-11-10","Boston","Massachusetts","64","","Trevor Owens","","n","True","True","2006 Boston Boston Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2006 - Boston"
"474","2005","San Diego","2005 Spring Forum","https://web.archive.org/web/20060609225142/http://www.diglib.org/forums/spring2005/","","2005-04-13","2005-04-15","San Diego","California","64","","Trevor Owens","https://web.archive.org/web/20060610031021/http://www.diglib.org/forums/spring2005/2005springforumattendeesalpha.pdf","n","True","True","2005 San Diego San Diego Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2005 - San Diego"
"475","2005","Charlottesville","2005 Fall Forum","https://web.archive.org/web/20130725232531/http://old.diglib.org/forums/fall2005/fall2005program.htm","","2005-11-07","2005-11-09","Charlottesville","Virginia","64","","Trevor Owens","","n","True","True","2005 Charlottesville Charlottesville Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2005 - Charlottesville"
"476","2004","New Orleans","2004 Spring Forum","https://web.archive.org/web/20061003220831/http://www.diglib.org/forums/Spring2004/springforum04rev1.htm","","2004-04-19","2004-04-21","New Orleans","Louisiana","64","","Trevor Owens","","n","True","True","2004 New Orleans New Orleans Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2004 - New Orleans"
"477","2004","Baltimore","2004 Fall Forum","https://web.archive.org/web/20060610031458/http://www.diglib.org/forums/fall2004/fallforum04short.htm","","2004-10-25","2004-10-27","Baltimore","Maryland","64","","Trevor Owens","","n","True","True","2004 Baltimore Baltimore Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2004 - Baltimore"
"478","2003","New York","2003 Spring Forum","https://web.archive.org/web/20060526151916/http://www.diglib.org/forums/spring2003/","","2003-05-14","2003-05-16","New York","New York","64","","Trevor Owens","""180 registrants from the Federation's 30 partner institutions and 4 allied institutions"" https://web.archive.org/web/20060603075805/http://www.diglib.org/forums/spring2003/DLFForumMay03rev.htm","n","True","True","2003 New York New York Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2003 - New York"
"479","2003","Albuquerque","2003 Fall Forum","https://web.archive.org/web/20060603065943/http://www.diglib.org/forums/fall2003/fallforum03-short.htm","","2003-11-17","2003-11-19","Albuquerque","New Mexico","64","","Trevor Owens","160 participants (https://web.archive.org/web/20060610033600/http://www.diglib.org/forums/fall2003/ForumNov03summ.htm)","n","True","True","2003 Albuquerque Albuquerque Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2003 - Albuquerque"
"480","2002","Chicago","2002 Spring Forum","https://web.archive.org/web/20061004015923/http://www.diglib.org/forums/spring2002/spr02brief.htm","","2002-05-10","2002-05-12","Chicago","Illinois","64","","Trevor Owens","","n","True","True","2002 Chicago Chicago Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2002 - Chicago"
"481","2002","Seattle","2002 Fall Forum","https://web.archive.org/web/20061004014617/http://www.diglib.org/forums/fall2002/DLFFallForum2002.htm","","2002-11-04","2002-11-05","Seattle","Washington","64","","Trevor Owens","129 (https://web.archive.org/web/20061004014439/http://www.diglib.org/forums/fall2002/dlf-fall02summary.htm)","n","True","True","2002 Seattle Seattle Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2002 - Seattle"
"482","2001","San Francisco","2001 Spring Forum","https://web.archive.org/web/20061004012227/http://www.diglib.org/forums/spring2001/sp01longpv.htm","","2001-05-04","2001-05-06","San Francisco","California","64","","Trevor Owens","","n","True","True","2001 San Francisco San Francisco Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2001 - San Francisco"
"483","2001","Pittsburgh","2001 Fall Forum","https://web.archive.org/web/20060603072130/http://www.diglib.org/forums/fall2001/fa01brief.htm","","2001-11-16","2001-11-18","Pittsburgh","Pennsylvania","64","","Trevor Owens","","n","True","True","2001 Pittsburgh Pittsburgh Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2001 - Pittsburgh"
"484","2000","Atlanta","2000 Spring Forum","https://web.archive.org/web/20060526152113/http://www.diglib.org/forums/spring2000/spring2000results.htm","","0200-03-31","2000-04-02","Atlanta","Georgia","64","","Trevor Owens","74 (https://web.archive.org/web/20060602035102/http://www.diglib.org/forums/spring2000/spring2000participants.htm)","n","True","True","2000 Atlanta Atlanta Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2000 - Atlanta"
"485","2000","Chicago","2000 Fall Forum","https://web.archive.org/web/20060901104251/http://www.diglib.org/forums/fall2000/forum2000resultspv.htm","","2000-11-18","2000-11-20","Chicago","Illinois","64","","Trevor Owens","""More than 100"" (https://web.archive.org/web/20060901202050/http://www.diglib.org/forums/fall2000/forumsum.htm)","n","True","True","2000 Chicago Chicago Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2000 - Chicago"
"486","1999","Washington, D.C.","1999 Summer Forum","https://web.archive.org/web/20061004013502/http://www.diglib.org/forums/summer1999/fs99agenda.htm","","1999-07-17","1999-07-18","Washington","District of Columbia","64","","Trevor Owen","61 (https://web.archive.org/web/20060603072104/http://www.diglib.org/forums/summer1999/fs99participants.htm)","n","True","False","1999 Washington, D.C. Washington Digital Library Federation Forum DLF Forum Digital Library Federation DLF","1999 - Washington, D.C."
"487","2018","Rio de Janeiro","https://eventos.fgv.br/en/hdrio2018-ingles/accepted-papers","https://eventos.fgv.br/en/hdrio2018-ingles/","","2018-04-09","2018-04-13","Rio de Janeiro","","33","","Nickoal Eichmann-Kalwara","","n","True","False","2018 Rio de Janeiro Rio de Janeiro Institution object (1273) Institution object (2070) Congresso Internacional em Humanidades Digitais HDRio","2018 - Rio de Janeiro"
"488","2021","Rio de Janeiro","Rescheduled 2020 to 2021 due to Covid-19","https://www.even3.com.br/hdrio2020/","Contemporary Crossroads","2021-04-12","2021-04-16","Rio de Janeiro","","33","","Nickoal Eichmann-Kalwara","","n","False","False","2021 Rio de Janeiro Rio de Janeiro Institution object (2070) Congresso Internacional em Humanidades Digitais HDRio","2021 - Rio de Janeiro"
